Nombre,Marca,Precio,Supermercado,URL
Detergente Líquido Prendas Delicadas,PERLAN,"3,15 €",Consum,https://tienda.consum.es/es/p/detergente-liquido-prendas-delicadas/401356
Lejía Multiusos,CONEJO,"2,69 €",Consum,https://tienda.consum.es/es/p/lejia-multiusos/419069
Maquinilla Basculante Slalom Plus Desechable,GILLETTE,"2,89 €",Consum,https://tienda.consum.es/es/p/maquinilla-basculante-slalom-plus-desechable/423822
Cera Suelos,ASEVI,"2,19 €",Consum,https://tienda.consum.es/es/p/cera-suelos/448852
Antical Pastillas,CALGON,"8,99 €",Consum,https://tienda.consum.es/es/p/antical-pastillas/485565
Filtros para Cafetera 1x4,MELITTA,"2,45 €",Consum,https://tienda.consum.es/es/p/filtros-para-cafetera-1x4/612572
After Shave Bálsamo Piel Sensible,NIVEA,"5,95 €",Consum,https://tienda.consum.es/es/p/after-shave-balsamo-piel-sensible/710087
Limpiahogar Antical,VIAKAL,"2,99 €",Consum,https://tienda.consum.es/es/p/limpiahogar-antical/784660
"Chicles sin azucar fresa trident bote 82,6g",TRIDENT,"3,45 €",Supermercados Mas,https://www.supermercadosmas.com/alimentacion/chicles-sin-azucar-fresa-trident-bote-826g/
Chicles sin azucar menta ifa eliges bolsa 35ud,IFA ELIGES,"1,00 €",Supermercados Mas,https://www.supermercadosmas.com/alimentacion/chicles-sin-azucar-menta-ifa-eliges-bolsa-35ud/
Gominolas party mix vidal vidal 400g,VIDAL,"3,95 €",Supermercados Mas,https://www.supermercadosmas.com/alimentacion/gominolas-party-mix-vidal-vidal-400g/
Colorante alimentario dr.oetker 40g,DR.OETKER,"3,99 €",Supermercados Mas,https://www.supermercadosmas.com/panaderia-bolleria-pasteleria/colorante-alimentario-droetker-40g/
"Tortitas de maiz con setas, trufa y parmesano bicentury 124g",BICENTURY,"2,59 €",Supermercados Mas,https://www.supermercadosmas.com/alimentacion/tortitas-de-maiz-con-setas-trufa-y-parmesano-bicentury-124g/
Aroma de anis carmencita 50ml,CARMENCITA,"3,99 €",Supermercados Mas,https://www.supermercadosmas.com/panaderia-bolleria-pasteleria/aroma-de-anis-carmencita-50ml/
